,@context.0,@type.0,@type.1,@type.2,alternateName.1,claimReviewed.0,datePublished.0,datePublished.1,internal_url.0,lang,name.1,url.0,url.1,url.2
0,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Notizia falsa'],['Putin: “non accetto lezioni di democrazia da un paese che impedisce ad una parte della sua popolazione persino di prendere l’autobus per andare al lavoro”'],['2022-03-01'],['2022-02-24'],"['https://www.facebook.com/luigi.gioacchini/posts/10224902806270249', 'https://web.archive.org/web/20220124005016/http://en.kremlin.ru/', 'https://www.youtube.com/watch?v=e7ky_L5ylek&feature=emb_imp_woyt&ab_channel=PalazzoChigi', 'https://www.governo.it/it/governo/draghi/presidente-del-consiglio/mario-draghi', 'https://www.bbc.com/news/world-europe-60503037', 'https://www.nytimes.com/interactive/2022/world/europe/ukraine-maps.html', 'https://www.ilmessaggero.it/politica/ucraina_russia_guerra_italia_draghi_cosa_succede_ora_news_ultime_notizie-6525197.html']",it,['Facta'],['https://facta.news/notizia-falsa/2022/03/01/putin-non-ha-mai-detto-di-non-accettare-lezioni-di-democrazia-dallitalia-a-causa-del-green-pass/'],['https://facta.news/'],
1,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Senza prove'],['Queste auto sono state bruciate da rifugiati ucraini per motivazioni politiche legate alla guerra in Russia'],['2022-04-28'],['2022-04-25'],"['https://www.facebook.com/100080182707439/videos/1028270417796445', 'https://www.thelocal.de/20220410/pro-russian-vehicle-convoys-spark-outrage-in-germany/', 'https://www.presseportal.de/blaulicht/pm/66841/5193590', 'https://www.presseportal.de/blaulicht/pm/66841/5193590', 'https://onlinestreet.de/strassen/Fichtestra%C3%9Fe.Hannover.66381.html', 'https://www.presseportal.de/blaulicht/pm/66841/5197873', 'https://www.presseportal.de/blaulicht/pm/66841/5206013', 'https://www.hockeyweb.de/oberliga/nord/memminger-indians-und-eisbaeren-regensburg-vor-finaleinzug-106791']",it,['Facta'],['https://facta.news/antibufale/2022/04/28/lincendio-di-queste-auto-non-e-collegabile-ai-rifugiati-ucraini-o-alla-guerra/'],['https://facta.news/'],
2,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",['CreativeWork'],['Notizia falsa'],"['Stanno somministrando alle mucche il vaccino mRNA Che passerà il vaccino nel latte, nel formaggio, ecc']",['2022-10-18'],['2022-10-14'],"['https://web.archive.org/web/20221018080731/https:/www.ogginotizie.eu/salute/stanno-somministrando-alle-mucche-il-vaccino-mrna-che-passera-il-vaccino-nel-latte-nel-formaggio-ecc/', 'https://web.archive.org/web/20221018091409/https:/beforeitsnews.com/alternative/2022/10/urgently-warn-everyone-you-know-instant-death-of-cows-who-received-mrna-vaccine-3781287.html', 'https://www.nsw.gov.au/about-nsw', 'https://www.nature.com/articles/d41586-021-02483-w', 'https://tiba.bio/company/about-us/', 'https://www.nature.com/articles/d41586-021-02483-w', ""https://www.salute.gov.it/portale/sanitaAnimale/dettaglioContenutiSanitaAnimale.jsp?lingua=italiano&id=215&tab=1#:~:text=L'afta%20epizootica%20%C3%A8%20una,antilopi%2C%20elefanti%2C%20camelidi%E2%80%A6)"", 'https://www.efsa.europa.eu/it/topics/topic/lumpy-skin-disease', 'https://www.dpi.nsw.gov.au/about-us/media-centre/releases/2022/ministerial/nsw-fast-tracks-mrna-fmd-and-lumpy-skin-disease-vaccines', 'https://www.mla.com.au/research-and-development/animal-health-welfare-and-biosecurity/husbandry/vaccinating/', 'https://factcheck.afp.com/doc.afp.com.32KQ68B', 'https://facta.news/notizia-falsa/2022/07/14/no-i-vaccini-anti-covid-non-alterano-il-dna/', 'https://facta.news/notizia-falsa/2020/07/06/no-il-vaccino-di-gates-per-la-covid19-non-modifica-il-dna/', 'https://facta.news/notizia-falsa/2020/12/18/no-il-vaccino-a-mrna-contro-la-covid-19-non-modifica-il-dna/', 'https://www.aifa.gov.it/vaccini-mrna', 'https://factcheck.afp.com/doc.afp.com.32KQ68B', 'https://www.unsw.edu.au/staff/pall-thordarson', 'https://www.factcheck.org/2021/07/scicheck-meme-spreads-falsehood-about-vaccine-transfer/', 'https://www.med.upenn.edu/wherrylab/']",it,['Facta'],['https://facta.news/notizia-falsa/2022/10/18/vaccino-mrna-mucche-latte/'],['https://facta.news/'],['https://www.italiador.com/cellule-di-feto-abortito-per-creare-aromi-alimentari/']
3,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Fuori contesto'],['Le foto mostrano la folla alla manifestazione pro Trump del 14 novembre 2020'],['2020-11-17'],['2020-11-15'],"['https://www.facebook.com/photo.php?fbid=10222358952556752&set=basw.AbrasMXkLLe5INiNFkpfin8v_8EsNxLRYw_gEHp0oDja8Xpn1pmg-tK0BzEC4FXI-HIovor8h-qNSu1fr-CtjCnQsPbJ04VRn7UVW81hsKwCZhREqcM-r98iQzkABUzgULMCsL9AUWEsdTM0niuzZQj33-MAy-KcM2ZKxjnVPAEPzscN9l-q5pHbGQim5m3SCzKw2Y-_CQpUbUadeLGqB1TnloLLF4Tn2YgIK2vwYAJR8n5aQ8WB9Y_zD7dEFpmMi2EhbsdEpLf4iUJpmqvkj7K8Wnd9LwGZ0yjQ45Gb_A3z54DQRZ-Qtpl3UXKBt2wMhrASECU8xQFkS8NzOGhP3ONR-5WoInUEHGLeahvibAnLMBEqCXGAteLvaCEO-S057nturQln5hAQapN8b5egj1oB_mTAGYSjRJYiAD0rMojsyOCEVs0Ni_CnVHxWiB-vlxvBhnhW2CaBH2KdAMEPAHHO3GOtPO4Vh4xOv55Q2AIhWckeZtCkBKG66_Dqh0Jn_FO3HPz99kfS2tFISPIaIUO6gNkMIeG4kEdFmj98xd-FB00DH6azHI4a_EVi9QDI8SM.10220112556498020.10222358952556752.3744983712181370&type=1&theater', 'https://www.bbc.com/news/world-us-canada-54945154', 'https://www.nytimes.com/live/2020/11/13/us/joe-biden-trump', 'https://joebiden.com/presidency-for-all-americans/#', 'https://twitter.com/cavs/status/745689113769148416?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E745689113769148416%7Ctwgr%5E&ref_url=http%3A%2F%2Fthecomeback.com%2Fcrossoverchronicles%2Flocker%2F1-3-million-fans-turned-out-for-cleveland-victory-parade.html', 'https://sports.yahoo.com/news/basket-nba-tearful-lebron-delivers-vow-end-cleveland-090329648.html', 'https://sport.sky.it/nba?gr=www', 'https://www.itv.com/news/2018-10-20/peoples-vote-brexit-march-london-referendum-final-deal-eu', 'https://www.cleveland.com/livingston/2018/07/lebron_james_inspiration_icon.html', 'https://www.google.com/maps/@41.5025759,-81.6944234,3a,75y,15.19h,80.41t/data=!3m6!1e1!3m4!1s6TOZvmOfZC_yyfQV9wKxuw!2e0!7i16384!8i8192', 'https://twitter.com/shomaristone/status/1327673126197583875', 'https://www.dailymail.co.uk/news/article-8950985/Ivanka-Don-Jr-call-end-violence-against-Trump-supporters-Million-MAGA-March-clashes.html', 'https://www.facebook.com/watch/live/?v=3772507186134044&ref=watch_permalink', 'https://www.nbcnews.com/slideshow/cavaliers-celebrate-nba-championship-massive-parade-n597131']",it,['Facta'],['https://facta.news/fuori-contesto/2020/11/17/quattro-di-queste-cinque-foto-non-mostrano-la-manifestazione-a-favore-di-donald-trump-del-14-novembre-2020/'],['https://facta.news/'],
4,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Notizia falsa'],['Putin: “non accetto lezioni di democrazia da un paese che impedisce ad una parte della sua popolazione persino di prendere l’autobus per andare al lavoro”'],['2022-03-01'],['2022-02-24'],"['https://www.facebook.com/luigi.gioacchini/posts/10224902806270249', 'https://web.archive.org/web/20220124005016/http://en.kremlin.ru/', 'https://www.youtube.com/watch?v=e7ky_L5ylek&feature=emb_imp_woyt&ab_channel=PalazzoChigi', 'https://www.governo.it/it/governo/draghi/presidente-del-consiglio/mario-draghi', 'https://www.bbc.com/news/world-europe-60503037', 'https://www.nytimes.com/interactive/2022/world/europe/ukraine-maps.html', 'https://www.ilmessaggero.it/politica/ucraina_russia_guerra_italia_draghi_cosa_succede_ora_news_ultime_notizie-6525197.html']",it,['Facta'],['https://facta.news/notizia-falsa/2022/03/01/putin-non-ha-mai-detto-di-non-accettare-lezioni-di-democrazia-dallitalia-a-causa-del-green-pass/'],['https://facta.news/'],
5,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Immagine modificata'],"['Questo video della luna è stato girato al confine tra Canada, Alaska e Russia. Questo fenomeno si verifica solo nel perigeo (il punto in cui la luna è più vicina alla terra) ed è proprio qui che possiamo renderci conto della grande velocità con cui il nostro pianeta si muove']",['2022-08-05'],['2022-07-31'],"['https://www.facebook.com/vincenzo.d.cristofano/videos/1383017825442420', 'https://www.tiktok.com/@laryloo/video/6963129421117132038', 'https://www.tiktok.com/@aleksey__nz', 'https://linktr.ee/Aleksey__N', 'https://www.artstation.com/aleksey_n', 'https://www.google.com/maps/place/Odessa,+Ucraina,+65000/@46.459972,30.7117875,11z/data=!4m5!3m4!1s0x40c6318a0b864c43:0x129f8fe28cf2176c!8m2!3d46.482526!4d30.7233095', 'https://nftb.io/user/0x9cb3957947ea6fd49e9fd7bcd7f2aff842545012/', 'https://nftb.io/', 'https://factcheck.afp.com/video-lunar-eclipse-has-been-created-using-computer-generated-imagery']",it,['Facta'],['https://facta.news/immagine-modificata/2022/08/05/video-luna-artico-perigeo/'],['https://facta.news/'],
6,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Notizia falsa'],"['Bill Gates ha detto che il vaccino contro la Covid-19 «non sarà sicuro, ma facciamolo comunque»']",['2020-06-17'],['2020-06-17'],"['https://www.facebook.com/photo.php?fbid=2833027250159419&set=a.107626872699484&type=3&theater', 'https://twitter.com/beachmilk/status/1265265434741272576', 'https://www.youtube.com/watch?v=ie6lRKAdvuY', 'https://youtu.be/ie6lRKAdvuY', 'https://www.gatesfoundation.org/TheOptimist/Articles/coronavirus-mark-suzman-therapeutics', 'https://www.businessinsider.com/bill-gates-backing-boosts-2-billion-doses-astrazeneca-coronavirus-vaccine-2020-6?IR=T', 'fuori-contesto/2020/05/28/tra-chi-ha-sperimentato-il-vaccino-anti-covid-di-moderna-ci-sono-state-reazioni-avverse-ma-non-e-corretto-parlare-di-catastrofe/index.html', 'https://www.youtube.com/watch?v=qJlP91xjvsQ&feature=youtu.be']",it,['Facta'],['https://facta.news/notizia-falsa/2020/06/17/no-bill-gates-non-ha-mai-detto-che-il-vaccino-contro-la-covid-19-non-sara-sicuro-ma-facciamolo-comunque/'],['https://facta.news/'],
7,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Notizia falsa'],"['«Perakov Natalya, prima donna pilota dell’aviazione ucraina, ha trovato l’altro giorno la morte nei cieli della sua patria. #stopwar»']",['2022-03-10'],['2022-03-03'],"['https://www.facebook.com/100011330555537/posts/1896510104069990/?d=n', 'storie/2021/04/02/cinque-consigli-utili-per-difendersi-dalla-disinformazione/index.html#:~:text=La%20ricerca%20inversa%20per%20immagini', 'https://www.mil.gov.ua/news/2016/10/12/laureatom-konkursu-krasun-u-pogonah-slava-geroinyam!-u-luganskij-oblasti-stala-uchasnik-ato-starshij-soldat-olesya-vorobej/', 'https://www.flickr.com/photos/undpeuropeandcis/5472888693/in/photostream/', 'https://www.politico.eu/article/ukraine-nadiya-savchenko-tymoshenko-poroshenko-russia/', 'https://www.latimes.com/world/europe/la-fg-ukraine-pilot-20160525-snap-story.html', 'https://www.facebook.com/Savchenko.Nadiia/videos/698841471127218/', 'https://twitter.com/mariamacina/status/1498678472847278082']",it,['Facta'],['https://facta.news/notizia-falsa/2022/03/10/questa-non-e-la-prima-donna-pilota-dellaviazione-ucraina-e-non-e-morta-in-combattimento/'],['https://facta.news/'],
8,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Fuori contesto'],"[""Enorme ingorgo sul ponte di Kerch. I russi pronti a lasciare la Crimea, dopo la distruzione dell'aeroporto degli occupanti, aumentano di ora in ora""]",['2022-08-12'],['2022-08-10'],"['https://twitter.com/My_Salute/status/1557274806986358784', 'https://www.reuters.com/world/europe/one-killed-blasts-rock-russian-air-base-annexed-crimea-2022-08-09/', 'https://www.google.com/maps/place/Novofedorivka/data=!4m2!3m1!1s0x40eabcc966a73cc5:0x9b735e3a8bbaff14?sa=X&ved=2ahUKEwi5343niMH5AhVZh_0HHUDDDvAQ8gF6BAhEEAE', 'https://www.britannica.com/place/Crimea', 'https://www.cnbc.com/2022/01/27/how-russia-invaded-ukraine-in-2014-and-how-the-markets-tanked.html', 'https://www.aljazeera.com/news/2022/8/9/large-explosions-rock-russian-military-air-base-in-crimea', 'https://www.theguardian.com/world/2022/aug/11/russian-warplanes-destroyed-in-crimea-saky-airbase-attack-satellite-images-show', 'https://www.roadtraffic-technology.com/projects/kerch-strait-bridge/', 'https://big-rostov.ru/zachem-minuvshej-nochyu-dvizhenie-po-krymskomu-mostu-polnostyu-perekryvali/', ""https://www.google.com/maps/place/Oblast'+di+Rostov,+Russia/@48.0025509,36.7824263,6z/data=!3m1!4b1!4m5!3m4!1s0x411dba305deaf721:0x102a3a583f197e0!8m2!3d47.6853247!4d41.8258952"", 'https://www.reuters.com/article/factcheck-crimea-bridge/fact-check-image-of-traffic-jam-on-crimean-bridge-is-nearly-a-month-old-it-does-not-show-russians-fleeing-the-peninsula-in-august-2022-idUSL1N2ZN0KZ', 'https://yandex.com/maps/org/street_view_3d/14988758811/?l=stv%2Csta&ll=36.602791%2C45.260573&panorama%5Bdirection%5D=293.014275%2C-1.238383&panorama%5Bfull%5D=true&panorama%5Bpoint%5D=36.630442%2C45.199731&panorama%5Bspan%5D=122.671039%2C60.000000&z=11']",it,['Facta'],['https://facta.news/fuori-contesto/2022/08/12/ingorgo-ponte-crimea-agosto/'],['https://facta.news/'],
9,['http://schema.org'],['ClaimReview'],"['Organization', 'Claim', 'Rating']",,['Notizia falsa'],"[""“Eni ha bloccato il prezzo del gas con la Russia 10 anni fa con un contratto. E continua a pagarlo a quel prezzo. Però vi applica il prezzo determinato dalla borsa di Amsterdam. Quindi lo compra a 2 (come da contratto) e ve lo rivende a 30 (grazie alla borsa che è pura speculazione). Eni con questo meccanismo ha avuto un utile di 600 miliardi nei primi 6 mesi di quest'anno. Eni casualmente ha spostato la sede legale in Olanda. L'Eni è una compartecipata statale al 30,62% (4 e rotti% ministero dell'economia e finanze e 26 e rotti% Cassa Depositi e Prestiti). Quindi parte di quell'utile (180 MILIARDI!!!) è dello stato italiano, che non vuole ridarlo ai clienti (Cittadini e Imprese). Altro che sforamento di bilancio e PNNR. Non è finita qui. La società che in borsa contratta il gas, fatalità è americana. Paga il 3% di tasse in Olanda e il resto lo porta chissà dove. Nel contempo però sta alzando artificiosamente il prezzo del gas, in modo che i paesi europei siano costretti a comprare (al triplo del prezzo) il gas americano (bontà loro, che mossi da humana pietas ce lo vendono). Come vedete Putin non c'entra un tubo (scusate la battuta). Il vero nemico è in Italia. Vi è già venuta una colica ? Se volete continuo...” Mario Giordano""]",['2022-09-14'],['2022-09-11'],"['https://www.facebook.com/Spegniamo.le.luci/posts/pfbid02fe1FAEk9auNziMN1kzHygGt3c5bX3hk7h9miRDaoALq5t6HcqwQ6N1Eyh1Ce4rkYl', 'https://www.treccani.it/enciclopedia/mario-giordano/', 'https://www.eni.com/it-IT/home.html', 'https://www.ilsole24ore.com/art/eni-balzo-utile-e-margini-semestre-descalzi-risultati-solidi-miglioriamo-remunerazione-soci-AEBGNupB?refresh_ce=1', 'https://www.open.online/2022/09/13/aumento-prezzo-gas-eni-600-miliardi-primo-semestre-2022-fc/', 'https://www.la7.it/nonelarena/video/danilo-lupo-ha-intervistato-salvatore-carollo-ex-dirigente-delleni-sul-rapporto-tra-guerra-e-prezzo-10-04-2022-433641', 'https://it.linkedin.com/in/salvatore-carollo-39b31439', 'https://www.ilsole24ore.com/art/gas-gazprom-sfida-eni-contratti-aperto-arbitrato-ADsEw5X', 'https://www.eni.com/it-IT/contatti.html', 'https://www.facebook.com/photo.php?fbid=10224958614265222&set=a.10201637343928039&type=3&theater']",it,['Facta'],['https://facta.news/notizia-falsa/2022/09/14/eni-utile-600-miliardi-gas/'],['https://facta.news/'],
